n,y,area_type,value
Sri Lanka,2070,town,2.6884838557079997
Sri Lanka,2075,city,4.826153762228399
Sri Lanka,2075,large_city,2.86421734149642
Sri Lanka,2075,town,2.8012675098151796
Sri Lanka,2080,city,4.9993124604014
Sri Lanka,2080,large_city,2.9669832645425704
Sri Lanka,2080,town,2.90177484114603
Sri Lanka,2085,city,5.152046157508599
Sri Lanka,2085,large_city,3.0576273934779303
Sri Lanka,2085,town,2.9904267914234697
Sri Lanka,2090,city,5.2829832536008
Sri Lanka,2090,large_city,3.1353357135500404
Sri Lanka,2090,town,3.06642723632916
Sri Lanka,2095,city,5.3919253491002
Sri Lanka,2095,large_city,3.19999047892251
Sri Lanka,2095,town,3.1296610178472895
Sri Lanka,2100,city,5.4786761804160005
Sri Lanka,2100,large_city,3.2514752114208005
Sri Lanka,2100,town,3.1800142177632
Afghanistan,2011,rural,22.24521
Afghanistan,2012,rural,23.108448
Afghanistan,2013,rural,23.852755799999997
Afghanistan,2014,rural,24.6751336
Afghanistan,2015,rural,25.3789875
Afghanistan,2016,rural,25.973072000000002
Afghanistan,2017,rural,26.640900000000002
Afghanistan,2018,rural,27.3358845
Afghanistan,2019,rural,28.042714200000002
Afghanistan,2020,rural,28.8276678
Afghanistan,2025,rural,30.608192685680002
Afghanistan,2030,rural,33.412680783439995
Afghanistan,2035,rural,35.94215156991
Afghanistan,2040,rural,38.1281461362
Afghanistan,2045,rural,39.93329338712999
Afghanistan,2050,rural,41.33621198322
Afghanistan,2055,rural,42.317694759599995
Afghanistan,2060,rural,42.887426883719996
Afghanistan,2065,rural,43.077857286749996
Afghanistan,2070,rural,42.87734573272
Afghanistan,2075,rural,42.32913557355
Afghanistan,2080,rural,41.433923912
Afghanistan,2085,rural,40.25033846352001
Afghanistan,2090,rural,38.91826417336
Afghanistan,2095,rural,37.502764507600006
Afghanistan,2100,rural,36.0192356069
Bangladesh,2011,rural,103.3069275
Bangladesh,2012,rural,103.4318463
Bangladesh,2013,rural,103.5666914
Bangladesh,2014,rural,103.658814
Bangladesh,2015,rural,103.68168360000001
Bangladesh,2016,rural,103.72438260000001
Bangladesh,2017,rural,103.7753418
Bangladesh,2018,rural,103.7207424
Bangladesh,2019,rural,103.60724400000001
