n,area_type,y,value
Bangladesh,town,2095,0.32499999999999996
Bangladesh,town,2096,0.32499999999999996
Bangladesh,town,2097,0.32499999999999996
Bangladesh,town,2098,0.32499999999999996
Bangladesh,town,2099,0.32499999999999996
Bangladesh,town,2100,0.32499999999999996
Bhutan,city,2011,0.33
Bhutan,city,2012,0.3286842105263158
Bhutan,city,2013,0.3273684210526316
Bhutan,city,2014,0.32605263157894737
Bhutan,city,2015,0.32473684210526316
Bhutan,city,2016,0.32342105263157894
Bhutan,city,2017,0.32210526315789473
Bhutan,city,2018,0.3207894736842105
Bhutan,city,2019,0.3194736842105263
Bhutan,city,2020,0.3181578947368421
Bhutan,city,2021,0.3168421052631579
Bhutan,city,2022,0.3155263157894737
Bhutan,city,2023,0.3142105263157895
Bhutan,city,2024,0.3128947368421053
Bhutan,city,2025,0.31157894736842107
Bhutan,city,2026,0.31026315789473685
Bhutan,city,2027,0.30894736842105264
Bhutan,city,2028,0.3076315789473684
Bhutan,city,2029,0.3063157894736842
Bhutan,city,2030,0.305
Bhutan,city,2031,0.3045
Bhutan,city,2032,0.304
Bhutan,city,2033,0.3035
Bhutan,city,2034,0.303
Bhutan,city,2035,0.3025
Bhutan,city,2036,0.302
Bhutan,city,2037,0.3015
Bhutan,city,2038,0.301
Bhutan,city,2039,0.3005
Bhutan,city,2040,0.3
Bhutan,city,2041,0.2995
Bhutan,city,2042,0.299
Bhutan,city,2043,0.2985
Bhutan,city,2044,0.298
Bhutan,city,2045,0.2975
Bhutan,city,2046,0.297
Bhutan,city,2047,0.2965
Bhutan,city,2048,0.296
Bhutan,city,2049,0.2955
Bhutan,city,2050,0.295
Bhutan,city,2051,0.295
Bhutan,city,2052,0.295
Bhutan,city,2053,0.295
Bhutan,city,2054,0.295
Bhutan,city,2055,0.295
Bhutan,city,2056,0.295
Bhutan,city,2057,0.295
Bhutan,city,2058,0.295
Bhutan,city,2059,0.295
Bhutan,city,2060,0.295
Bhutan,city,2061,0.295
Bhutan,city,2062,0.295
Bhutan,city,2063,0.295
Bhutan,city,2064,0.295
Bhutan,city,2065,0.295
Bhutan,city,2066,0.295
Bhutan,city,2067,0.295
Bhutan,city,2068,0.295
Bhutan,city,2069,0.295
Bhutan,city,2070,0.295
Bhutan,city,2071,0.295
Bhutan,city,2072,0.295
Bhutan,city,2073,0.295
Bhutan,city,2074,0.295
Bhutan,city,2075,0.295
Bhutan,city,2076,0.295
Bhutan,city,2077,0.295
Bhutan,city,2078,0.295
Bhutan,city,2079,0.295
Bhutan,city,2080,0.295
Bhutan,city,2081,0.295
Bhutan,city,2082,0.295
Bhutan,city,2083,0.295
Bhutan,city,2084,0.295
Bhutan,city,2085,0.295
Bhutan,city,2086,0.295
Bhutan,city,2087,0.295
Bhutan,city,2088,0.295
Bhutan,city,2089,0.295
Bhutan,city,2090,0.295
Bhutan,city,2091,0.295
Bhutan,city,2092,0.295
Bhutan,city,2093,0.295
Bhutan,city,2094,0.295
Bhutan,city,2095,0.295
Bhutan,city,2096,0.295
Bhutan,city,2097,0.295
Bhutan,city,2098,0.295
Bhutan,city,2099,0.295
Bhutan,city,2100,0.295
Bhutan,large_city,2011,0.414
Bhutan,large_city,2012,0.4166315789473684
Bhutan,large_city,2013,0.41926315789473684
Bhutan,large_city,2014,0.42189473684210527
Bhutan,large_city,2015,0.42452631578947364
Bhutan,large_city,2016,0.42715789473684207
